   9.6000000e+01   4.3000000e+01   6.6000000e+01
   4.9000000e+01   9.2000000e+01   4.0000000e+00
   8.1000000e+01   8.0000000e+01   8.5000000e+01
   1.5000000e+01   9.6000000e+01   9.4000000e+01
   6.7873515e-01   3.9222702e-01   7.0604609e-01
   7.5774013e-01   6.5547789e-01   3.1832846e-02
   7.4313247e-01   1.7118669e-01   2.7692298e-01
   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00
   5.0000000e+00   6.0000000e+00   7.0000000e+00   8.0000000e+00
   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00
   5.0000000e+00   6.0000000e+00   7.0000000e+00   8.0000000e+00
